Key,brazilian
44MagBulletHPDesc,Essas balas tiveram suas pontas escavadas para maximizar o dano de impacto.
44MagCoilroundDesc,"Essas balas não usam pólvora na fabricação, mas são idênticas às munições normais de 44 magnum."
44MagCoilroundHPDesc,"Essas balas tiveram suas pontas escavadas e não usam pólvora na fabricação, mas são idênticas a 44 cartuchos de ponta oca magnum."
762mmBulletHPDesc,Essas balas tiveram suas pontas escavadas para maximizar o dano de impacto.
762mmCoilroundDesc,"Essas balas não usam pólvora na fabricação, mas são idênticas às balas normais de 7,62."
762mmCoilroundHPDesc,"Essas balas tiveram suas pontas escavadas e não usam pólvora na fabricação, mas são idênticas às balas de ponta oca 7,62."
9mmBulletHPDesc,Essas balas tiveram suas pontas escavadas para maximizar o dano de impacto.
adcAdvancedFilter,Filtro de Água Avançado
adcAdvancedFilterDesc,Um filtro de água ainda melhor. Utiliza técnicas de purificação altamente complicadas.\n\nAumenta a velocidade em 20%
adcBigBarrel,Barril de água grande
adcBigBarrelDesc,É um barril de água
adcEnhancedWater,Água Infundida
adcEnhancedWaterDesc,"Embora não seja tão poderosa quanto a água mineral, ainda é melhor que a água normal."
adcLargeCatcher,Grande coletor de água
adcLargeCatcherDesc,É uma lona grande. Ele coleta mais água do que um menor.\n\nFaz com que o bloco produza 2 águas por vez.
adcMineralInfuser,Infusor Mineral
adcMineralInfuserDesc,Tecnologia de infusão mineral de última geração. Pega água chata e infunde nela sua ingestão diária de vitaminas e minerais (pelo menos é o que diz a embalagem).\n\nProduz água mineral em vez de água normal.
adcXuiModifiers,MODIFICADORES
AdminClassBookDesc,"Livro apenas para administradores. Usado para conceder todos os XP, vantagens, receitas e habilidades como se o jogador tivesse completado as missões de classe apropriadas."
AdminGainLvlBookDesc,"Livro apenas para administradores. Usado para conceder 10.000 XP ao jogador, o que deve ser suficiente para subir de nível. Missão repetível."
advancedDewCollectorDesc,Coleta orvalho ao longo do tempo para água potável.\n\nPode ser atualizado colocando ferramentas nos slots apropriados.\nRepare com sucata de polímeros.
advancedlockpicking_desc,Use as setas do teclado para alterar a posição das fechaduras. Depois espaço para tentar desbloquear.
advforge,Forja Avançada
advForgeDesc,"Usado para fabricar aço especificamente, sem necessidade de bigorna ou combustível! Desbloqueie mais receitas adicionando um cadinho ou um conjunto de ferramentas e moldes."
ammo44MagnumBulletSteel,".44 Magnum Round, Aço (Munição)"
ammo44MagnumBulletSteelAP,".44 AP Magnum Round, Aço (Munição)"
ammo44MagnumBulletSteelHP,".44 HP Magnum redondo, aço (munição)"
ammo762mmBulletFMJSteel,"7,62 mm redondo, aço (munição)"
ammo762mmBulletSteelAP,"7,62 mm AP redondo, aço (munição)"
ammo762mmBulletSteelHP,"7,62 mm HP redondo, aço (munição)"
ammo9mmBulletSteel,"9 mm redondo, aço (munição)"
ammo9mmBulletSteelAP,"9mm AP redondo, aço (munição)"
ammo9mmBulletSteelHP,"9mm HP redondo, aço (munição)"
ammoBundleArrowExploding,Caixa de Flechas Explosivas (250)
ammoBundleArrowFlaming,Caixa de Flechas Flamejantes (250)
ammoBundleArrowIron,Caixa de Flechas de Ferro (500)
ammoBundleArrowSteelAP,Caixa de Flechas de Aço (500)
ammoBundleArrowStone,Caixa de Flechas de Pedra (500)
ammoBundleCrossbowBoltExploding,Caixa de setas explosivas de besta (250)
ammoBundleCrossbowBoltFlaming,Caixa de Setas Flamejantes de Besta (250)
ammoBundleCrossbowBoltIron,Caixa de virotes de besta de ferro (500)
ammoBundleCrossbowBoltSteelAP,Caixa de virotes de aço para besta (500)
ammoBundleCrossbowBoltStone,Caixa de virotes de pedra para besta (500)
animalAny,Qualquer animal
animalBigSnake,Cascavel
animalBoarFemale,Javali
animalBoarKill,Javali
animalBoarWild,Javali
animalBossGrace,Graça
animalBreedingTip,"Atualmente, a criação de animais está funcionando apenas parcialmente.\n\nCrie um cercado seguro, sem portas, e coloque o filhote. Eventualmente, ele irá aparecer e vagar pelo cercado. Você precisa de um macho e uma fêmea para criar mais animais.\n\nA partir de agora, você só pode matá-los para obter carne. Isso será expandido posteriormente."
animalBreedingTip_title,Criação de Animais
animalBull,Vaca
animalCow,Vaca
animalCoyote,Coiote
animalDireWolf,Lobo Terrível
animalFarmBoar,Javali (fêmea)
animalFarmBoarMale,Javali (macho)
animalFarmChickenFemale,Frango (domesticado)
animalFarmCow,Vaca (feminina)
animalFarmCowMale,Vaca (macho)
animalFarmGoat,Cabra (macho)
animalFarmGoatFemale,Cabra (fêmea)
animalFarmSheep,Ovelha (fêmea)
animalFarmSheepMale,Ovelha (macho)
animalFeedDesc,Usado na confecção de galinheiros e armadilhas para animais.
animalGoat,Cabra
animalGoatFemale,Cabra
animalHellwolf,Lobo do Inferno
animalHornet,Vespa
animalMountainLion,Leão da montanha
animalSheep,Ovelha
animalSheepMale,Ovelha
animalSnake,Cobra
animalSnareDesc,"Uma armadilha para animais. Isso produz carne, gordura animal ou couro. Usa ração animal no slot de isca. Pode ser atualizado com as seguintes ferramentas:\n\nDispositivo de esfola aprimorado: colhe mais couro por rolo.\nArmazenamento de caixa atualizado: aumenta a área de saída da caixa para 25 slots.\nIsca animal melhor: diminui o tempo de produção em 20%."
animalSpider,Aranha Gigante
animalWolfFemale,Lobo
animalWolfMale,Lobo
animalWolfTame,Lobo (feminino)
animalWolfTameMale,Lobo (masculino)
animalZombieBear,Urso Zumbi
animalZombieBearDemon,Urso do Inferno
animalZombieDogRad,Cachorro Zumbi Radiado
animalZombieVultureDemon,Inferno Pidgeon
animalZombieVultureRadiated,Abutre Zumbi Radiado
AnnaNoWorkResponseText,Ei. Você tem algum trabalho?
AnnaNoWorkStatementText,Não. Eu não confio em você. Vá e ajude Eve.
antiradDesc,As pílulas anti-radiação curam a maior parte da radiação e têm a chance de fornecer proteção contra ela.
AppleDesc,Um por dia mantém o médico longe! Provavelmente uma boa ideia no apocalipse.
appleJuiceDesc,Ótima fonte de hidratação e faz bem!
applePieDesc,Esta torta de maçã caseira é nutritiva e saborosa. Mmm... exatamente como a vovó costumava fazer.
APTipDesc,Essas pontas de bala têm um núcleo de ferro sólido para maximizar a penetração.
attactionskills,Habilidades de ação
attActionSkillsDesc,Aprenda fazendo!
attActionSkillsName,Habilidades de ação
attAgilityRank1Desc,"Destreza não é seu forte, mas com um pouco de prática tudo é possível."
attAgilityRank2Desc,Aumente sua resistência máxima para 110. Aumente a distância de queda segura em um metro.
attAgilityRank3Desc,Aumente sua resistência máxima para 120. Aumente a distância de queda segura em um metro.
attAgilityRank4Desc,Aumente sua resistência máxima para 130. Aumente a distância de queda segura em 2 metros. Salte 1 metro mais alto.
attAgilityRank5Desc,Aumente sua resistência máxima para 140. Aumente a distância de queda segura em 2 metros. Salte 1 metro mais alto.
attAgilityRank6Desc,Aumente sua resistência máxima para 150. Aumente a distância de queda segura em 3 metros. Salte 1 metro mais alto.
attAgilityRank7Desc,Aumente sua resistência máxima para 160. Aumente a distância de queda segura em 3 metros. Nunca torça a perna.
attAgilityRank8Desc,Aumente sua resistência máxima para 170. Aumente a distância de queda segura em 4 metros. Nunca torça a perna.
attAgilityRank9Desc,Aumente sua resistência máxima para 180. Aumente a distância de queda segura em 4 metros. Nunca torça a perna.
attclasscivilian,Classe: Catador
attClassCivilianDesc,Este atributo rastreia o progresso da missão da sua classe e mostra suas vantagens exclusivas.
attClassCivilianName,Classe: Catador
attClassCivilianRank1Desc,O Rank 1 é obtido quando você completa sua missão de primeira classe. Aumente o nível de fabricação em 10 para pistolas.
attclassfarmer,Classe: Fazendeiro
attClassFarmerDesc,Este atributo rastreia o progresso da missão da sua classe e mostra suas vantagens exclusivas.
attClassFarmerName,Classe: Fazendeiro
attClassFarmerRank1Desc,O Rank 1 é obtido quando você completa sua missão de primeira classe.
attClassFarmerRank2Desc,O Rank 2 é obtido quando você termina sua última missão de classe. Aumente o nível de fabricação em 10 para espingardas e enxadas.
attclasshunter,Classe: Caçador
attClassHunterDesc,Este atributo rastreia o progresso da missão da sua classe e mostra suas vantagens exclusivas.
attClassHunterName,Classe: Caçador
attClassHunterRank1Desc,O Rank 1 é obtido quando você completa sua missão de primeira classe.
attClassHunterRank2Desc,O Rank 2 é obtido quando você termina sua última missão de classe. Aumente o nível de fabricação em 10 para rifles. Ganhe a habilidade de rastrear animais enquanto estiver agachado.
attclasslaborer,Classe: Trabalhador
attClassLaborerDesc,Este atributo rastreia o progresso da missão da sua classe e mostra suas vantagens exclusivas.
attClassLaborerName,Classe: Trabalhador
attClassLaborerRank1Desc,O Rank 1 é obtido quando você completa sua missão de primeira classe.
attClassLaborerRank2Desc,O Rank 2 é obtido quando você termina sua última missão de classe. Aumenta o nível de fabricação em 10 para ferramentas de mineração.\nDesbloqueia a receita da pistola de pregos.\nAumenta a contagem de colheitas com ferramentas de mineração em 25%
attclassmechanic,Classe: Mecânico
attClassMechanicDesc,Este atributo rastreia o progresso da missão da sua classe e mostra suas vantagens exclusivas.
attClassMechanicName,Classe: Mecânico
attClassMechanicRank1Desc,O Rank 1 é obtido quando você completa sua missão de primeira classe.
attClassMechanicRank2Desc,"O Rank 2 é obtido quando você termina sua última missão de classe. Aumenta o nível de fabricação em 10 para porretes e trenós, ferramentas de salvamento, SMG, torre robótica e torre de lixo."
attclassscientist,Classe: Cientista
attClassScientistDesc,Este atributo rastreia o progresso da missão da sua classe e mostra suas vantagens exclusivas.
attClassScientistName,Classe: Cientista
attClassScientistRank1Desc,O Rank 1 é obtido quando você completa sua missão de primeira classe.
attClassScientistRank2Desc,"O Rank 2 é obtido quando você termina sua última missão de classe. Aumente o nível de fabricação em 10 para armas brancas (incluindo lanças), bastões, pés de cabra, lança-chamas, lançadores de foguetes e drone robótico."
attclasssecurity,Classe: Segurança
attClassSecurityDesc,Este atributo rastreia o progresso da missão da sua classe e mostra suas vantagens exclusivas.
attClassSecurityName,Classe: Segurança
attClassSecurityRank1Desc,O Rank 1 é obtido quando você completa sua missão de primeira classe.
attClassSecurityRank2Desc,O Rank 2 é obtido quando você termina sua última missão de classe. Aumenta o nível de fabricação em 10 para todas as armas automáticas e todas as armaduras (excluindo energia).\nDesbloqueia o mod de item Advanced Tactical Rigging.
attclasssurvivalist,Classe: Sobrevivencialista
attClassSurvivalistDesc,Este atributo rastreia o progresso da missão da sua classe e mostra suas vantagens exclusivas.
attClassSurvivalistName,Classe: Sobrevivencialista
attClassSurvivalistRank1Desc,O Rank 1 é obtido quando você completa sua missão de primeira classe.
attClassSurvivalistRank2Desc,"O Rank 2 é obtido quando você termina sua última missão de classe. Aumenta o nível de fabricação em 10 para todas as pistolas, exceto a SMG, todos os nós dos dedos e todos os arcos.\nDesbloqueia a receita da tocha de sobrevivência."
attFortitudeRank1Desc,"Você não é muito durável, mas pelo menos está vivo."
attFortitudeRank2Desc,Aumente sua saúde máxima para 110. Reduza o uso de resistência corpo a corpo em 10%
attFortitudeRank3Desc,Aumente sua saúde máxima para 120. Reduza o uso de resistência corpo a corpo em 15%
attFortitudeRank4Desc,Aumente sua saúde máxima para 130. Reduza o uso de resistência corpo a corpo em 20%
attFortitudeRank5Desc,Aumente sua saúde máxima para 140. Reduza o uso de resistência corpo a corpo em 25%
attFortitudeRank6Desc,Aumente sua saúde máxima para 150. Reduza o uso de resistência corpo a corpo em 30%
attFortitudeRank7Desc,Aumente sua saúde máxima para 160. Reduza o uso de resistência corpo a corpo em 35%
attFortitudeRank8Desc,Aumente sua saúde máxima para 170. Reduza o uso de resistência corpo a corpo em 40%
attFortitudeRank9Desc,Aumente sua saúde máxima para 180. Reduza o uso de resistência corpo a corpo em 45%
attPerceptionRank1Desc,"Você pode atingir seu alvo, mas não está causando muito dano."
attPerceptionRank2Desc,Aumenta o dano da arma de longo alcance em 5% e a precisão em 2%. Aumenta o dano do tiro na cabeça em 25%. Limite os locais dos tesouros enterrados a 8 metros.
attPerceptionRank3Desc,Aumenta o dano da arma de longo alcance em 10% e a precisão em 4%. Aumenta o dano do tiro na cabeça em 40%. Limite os locais dos tesouros enterrados a 7 metros.
attPerceptionRank4Desc,Aumenta o dano da arma de longo alcance em 15% e a precisão em 6%. Aumenta o dano do tiro na cabeça em 55%. Reduza os locais dos tesouros enterrados para 6 metros.
attPerceptionRank5Desc,Aumenta o dano da arma de longo alcance em 20% e a precisão em 8%. Aumenta o dano do tiro na cabeça em 70%. Limite os locais dos tesouros enterrados a 5 metros.
attPerceptionRank6Desc,Aumenta o dano da arma de longo alcance em 25% e a precisão em 10%. Aumenta o dano do tiro na cabeça em 85%. Limite os locais dos tesouros enterrados a 4 metros.
attPerceptionRank7Desc,Aumenta o dano da arma de longo alcance em 30% e a precisão em 12%. Aumenta o dano do tiro na cabeça em 100%. Limite os locais dos tesouros enterrados a 3 metros.
attPerceptionRank8Desc,Aumenta o dano da arma de longo alcance em 35% e a precisão em 14%. Aumenta o dano do tiro na cabeça em 115%. Limite os locais dos tesouros enterrados a 2 metros.
attPerceptionRank9Desc,Aumenta o dano da arma de longo alcance em 40% e a precisão em 16%. Aumenta o dano do tiro na cabeça em 130%.
