Key,brazilian
12SlotsDesc,"Precisa armazenar suas coisas em algum lugar."
24SlotsDesc,"Precisa armazenar suas coisas em algum lugar."
54SlotsDesc,"Precisa armazenar suas coisas em algum lugar."
80sAtariDesc,"Diversão para toda a família. Contanto que você não seja o que está segurando o controle 2."
80sComputerDesc,"Onde tudo começou para você. Será que tem Pong?"
80sVCRDesc,"Relaxe e aproveite sua 9ª exibição de Re-Animator. Não se esqueça de ser gentil e rebobinar!"
AC_MiningMachine,"Escavadeira (Vazia)"
AC_MiningMachine1,"Escavadeira (Vazia)"
AC_MiningMachine2,"Escavadeira (Procurando Veias)"
AC_MiningMachine3,"Escavadeira (Iniciando Perfuração)"
AC_MiningMachine4,"Escavadeira (25% Cheia)"
AC_MiningMachine5,"Escavadeira (50% Cheia)"
AC_MiningMachine6,"Escavadeira (75% Cheia)"
AC_MiningMachineDesc,"Coloque esta escavadeira em um terreno amplo e aberto. Após colocá-la, ela passará por 6 fases enquanto procura veias subterrâneas para minerar e perfura para obter minério. Quando a perfuração estiver concluída, você poderá saqueá-la e ela começará a perfurar novamente."
AC_MiningMachineFull,"Escavadeira Cheia"
AC_MiningMachineFullDesc,"A escavadeira encontrou todo o minério que podia encontrar."
AC_MiningMachineRHSchematic,"Receita de Escavadeira"
AcceleratorConcreteDesc,"Acelera a configuração dos seus blocos e facilita a construção da sua base."
AccessoriesModTip_title,"Mods de Acessórios Veiculares"
AccessoriesModTip,"Mods de acessórios veiculares podem ser usados ​​na maioria dos veículos que têm motores pequenos ou grandes.\n\nQuase qualquer veículo pode usar estes!"
adminActionSkillMagazine,"Dev: Todos os Livros de Habilidades de Ação"
adminActionSkillMagazineDesc,"Aprender todas as Habilidades de Ação instantaneamente!"
AdminBackpackRH,"Dev: Desbloqueio de Mochila"
AdminBackpackRHDesc,"Desbloqueia todos os slots para testadores"
alarm_message_text,"O drop foi manipulado! Cuidado!"
AluminumBlock,"Bloco de Alumínio"
AluminumBlockGroupDesc,"Os blocos de alumínio são mais resistentes que o aço e têm resistência adicional à explosão."
AluminumShapes:VariantHelper,"Formas de Alumínio"
ammo45BulletAP,"AP .45 Munição"
ammo45BulletAPDesc,"Uma bala de .45 usada como munição de arma de fogo. Pode ser fabricada em uma bancada de trabalho."
ammo45BulletBall,".45 Munição"
ammo45BulletBallDesc,"Uma bala de .45 usada como munição de arma de fogo. Pode ser fabricada em uma bancada de trabalho."
