Key,brazilian
40mmGAmmo,Munição de granada de 40 mm
40mmGAmmoDesc,A munição de granada de 40 mm é usada na maioria dos lançadores de granadas.\n\nPode ser fabricada na bancada ou na estação de montagem de munição .
40mmGAmmoFrag,Munição de granada de 40 mm (Frag)
40mmGAmmoFragDesc,A munição de granada de 40 mm é usada na maioria dos lançadores de granadas.\n\nPode ser fabricada na bancada ou na estação de montagem de munição.
4x4TruckDamaged,TFP 4x4 danificado
4x4TruckHalfWreck,Meio Naufrágio TFP 4x4
4x4TruckShell,Concha TFP 4x4
7Days_Swinger_Pad_by_MPLogue,Almofada Swingers (MPLogue)
AbandonedMilitary,VM Abandonou Trailer Militar
advancedlockpicking_desc,Use as setas do teclado para alterar a posição das fechaduras. Depois espaço para tentar desbloquear.
airDropTip,"As entregas de suprimentos aéreos podem acontecer por volta do meio-dia.\n\nContendo suprimentos excelentes, essas caixas também são ímãs para zumbis, animais e bandidos.\n\nEsteja preparado para lutar pelo seu direito de abrir uma caixa!"
AlchemyTable001_FR,Mesa de Alquimia
AlchemyTable001_FRDesc,Uau... legal. Provavelmente posso fazer alguns itens relacionados ao [724c70]WITCH DOCTOR[-] aqui.
AmbulanceDamaged,Ambulância VM danificada
AmbulanceDamaged,Ambulância danificada
AmbulanceHalfWreck,Ambulância VM meio destruída
AmbulanceHalfWreck,Ambulância meio destruída
AmbulanceShell,Shell de ambulância VM danificado
AmbulanceShell,Carcaça de ambulância danificada
ammo9mmBulletBall,Munição de 9mm
ammo9mmBulletBallDesc,Uma bala de 9 mm usada como munição de arma de fogo. Pode ser fabricado na Bancada de Trabalho ou na Estação de Montagem de Munição.
ammo9mmBulletHP,Munição HiPower 9mm
ammo9mmBulletHPDesc,"A munição perfurante funciona especialmente bem contra alvos blindados, mas coloca um pouco mais de estresse na arma. Ele pode penetrar um inimigo ou um bloco de até 250 pontos de vida para causar dano também ao inimigo que está atrás dele.  Pode ser fabricado na Bancada de Trabalho ou na Estação de Montagem de Munição."
AmmoBundle44Tier1,.44 Fabricação de munição (65)
AmmoBundle44Tier2,.44 Fabricação de Munição (85)
AmmoBundle44Tier3,.44 Fabricação de Munição (105)
AmmoBundle44Tier4,.44 Fabricação de Munição (125)
AmmoBundle44Tier5,.44 Fabricação de Munição (145)
AmmoBundle762Tier1,762 Fabricação de munição (50)
AmmoBundle762Tier2,762 Fabricação de Munição (70)
AmmoBundle762Tier3,762 Fabricação de Munição (90)
AmmoBundle762Tier4,762 Fabricação de Munição (110)
AmmoBundle762Tier5,762 Fabricação de Munição (130)
AmmoBundle9mmTier1,Fabricação de munição de 9 mm (90)
AmmoBundle9mmTier2,Fabricação de munição de 9 mm (110)
AmmoBundle9mmTier3,Fabricação de munição de 9 mm (130)
AmmoBundle9mmTier4,Fabricação de munição de 9 mm (150)
AmmoBundle9mmTier5,Fabricação de munição de 9 mm (170)
AmmoBundleArrowTier1,Fabricação de Flechas/Parafusos de Ferro (100)
AmmoBundleArrowTier2,Fabricação de Flechas/Parafusos de Ferro (120)
AmmoBundleArrowTier3,Fabricação de flechas/parafusos de aço (100)
AmmoBundleArrowTier4,Fabricação de flechas/parafusos de aço (120)
AmmoBundleArrowTier5,Fabricação de flechas/parafusos de aço (140)
AmmoBundleBaseTier1,Instruções de elaboração (Nível 1)
AmmoBundleBaseTier1Desc,Converta estas instruções no pacote de artesanato de sua escolha
AmmoBundleBaseTier2,Instruções de elaboração (Nível 2)
AmmoBundleBaseTier2Desc,Converta estas instruções no pacote de artesanato de sua escolha
